"group","score"
"a",97.182598410947
"a",86.874403697336
"a",107.951839824793
"a",102.700704943489
"a",97.2269357785138
"a",94.339762612299
"a",81.2134174217946
"a",87.3320885607226
"a",90.3225031560576
"a",88.789906384415
"a",113.254637120685
"a",101.339773908218
"a",109.387494457471
"a",101.725381012889
"a",109.576504467529
"a",86.3731375467264
"a",100.683351328898
"a",101.0065764758
"a",109.013447540107
"a",79.2564289421752
"a",87.7143669647099
"a",106.430443187132
"a",96.402370858509
"a",102.940355856243
"a",88.747315118647
"a",106.422656502607
"a",88.9326241992648
"a",91.1515960829742
"a",84.4590485630832
"a",98.7332101140622
