"group","score"
"b",128.826641558173
"b",111.012761008622
"b",106.793612670007
"b",115.805314841802
"b",102.531878944092
"b",83.862630098014
"b",101.294725289037
"b",110.228677929713
"b",110.178055361173
"b",90.9748912664737
"b",100.143632739638
"b",105.084981386923
"b",92.1788671325315
"b",93.884211594322
"b",108.006654105809
"b",107.764788448182
"b",84.4912234146403
"b",105.141902114059
"b",110.822664777395
"b",104.652736134069
"b",103.833358527394
"b",98.550179122279
"b",122.444115997617
"b",108.660944744546
"b",104.331900740263
"b",107.826124660205
"b",110.67695174767
"b",92.2078410310949
"b",109.35368808281
"b",99.3449901776106
